,carat,potongan,warna,kejernihan,kedalaman,lebar,x,y,z,harga
33500,0.32,b'Ideal',b'F',b'VS2',62.8,53.0,4.38,4.34,2.74,12420000
15231,1.0,b'Premium',b'G',b'VS1',62.0,62.0,6.38,6.33,3.94,91725000
5679,0.91,b'Very Good',b'F',b'SI1',62.2,55.0,6.18,6.23,3.86,58275000
46347,0.9,b'Fair',b'H',b'I1',66.9,63.0,6.04,5.91,4.0,26370000
50323,0.71,b'Good',b'G',b'SI1',64.1,58.0,5.6,5.63,3.6,33600000
50870,0.63,b'Ideal',b'D',b'SI1',62.0,56.0,5.5,5.47,3.4,34695000
6568,1.0,b'Premium',b'E',b'SI2',59.1,61.0,6.44,6.39,3.79,61155000
12061,1.01,b'Ideal',b'F',b'SI2',62.4,54.0,6.41,6.44,4.01,77310000
30694,0.4,b'Very Good',b'F',b'SI1',62.3,57.0,4.67,4.74,2.93,11055000
12245,1.01,b'Premium',b'F',b'SI1',61.7,58.0,,6.39,3.96,78030000
53355,0.8,b'Ideal',b'G',b'SI2',62.2,57.0,5.93,5.96,3.7,39855000
23065,2.07,b'Premium',b'H',b'SI2',59.6,60.0,8.3,8.24,4.93,166410000
7624,1.01,b'Very Good',b'J',b'VS1',61.3,57.0,6.43,6.5,3.96,63930000
51365,0.71,b'Ideal',b'F',b'SI2',62.1,54.0,5.73,5.76,3.57,35475000
27191,2.02,b'Premium',b'H',b'SI1',61.1,60.0,8.19,8.11,4.98,262335000
33473,0.32,b'Ideal',b'F',b'VS2',61.1,57.0,4.44,4.4,2.7,12420000
50828,0.74,b'Ideal',b'G',b'SI1',62.7,56.0,5.78,5.74,3.61,34635000
25480,2.51,b'Good',b'G',b'SI2',59.5,65.0,8.87,8.74,5.24,213765000
42630,0.51,b'Ideal',b'H',b'SI1',62.1,55.0,5.17,5.15,,19965000
1930,0.71,b'Very Good',b'D',b'VS2',61.8,55.0,5.72,5.74,3.54,46260000
46616,0.51,b'Ideal',b'D',b'VS2',61.8,55.0,5.1,5.16,3.17,26805000
50936,0.51,b'Very Good',b'E',b'VVS2',61.3,55.0,5.14,5.16,3.16,34800000
20504,1.51,b'Very Good',b'I',b'VS2',62.3,60.0,7.29,7.35,4.56,132540000
46604,0.54,b'Ideal',b'D',b'SI1',61.5,56.0,5.25,5.23,3.22,26790000
6640,0.92,b'Good',b'G',b'SI1',60.6,60.0,6.29,6.32,3.82,61335000
24581,2.08,b'Premium',b'G',b'SI2',62.2,60.0,8.16,8.09,5.06,193245000
13902,1.05,b'Very Good',b'H',b'VS1',63.3,57.0,6.45,6.4,4.07,84855000
47473,0.48,b'Ideal',b'G',b'IF',61.6,54.0,5.03,5.1,3.12,27885000
14648,1.0,b'Very Good',b'G',b'VVS2',63.5,55.0,6.36,6.3,4.02,88710000
49017,0.5,b'Ideal',b'F',b'VVS2',61.6,56.0,5.08,5.11,3.14,30780000
26255,1.5,b'Premium',b'F',b'VS1',62.2,60.0,7.27,7.3,4.53,235620000
23490,1.58,b'Premium',b'H',b'VS1',61.7,59.0,7.48,7.42,4.6,172365000
40207,0.51,b'Ideal',b'I',b'SI1',62.5,57.0,5.1,5.07,3.18,16830000
8310,1.0,b'Good',b'H',b'SI1',63.4,56.0,6.34,6.37,4.03,65835000
33254,0.32,b'Ideal',b'E',b'VS1',61.0,54.0,4.44,4.46,2.72,12375000
29038,0.4,b'Good',b'E',b'SI1',63.7,57.0,4.66,4.69,2.98,10305000
10765,1.13,b'Ideal',b'D',b'SI2',61.6,55.0,6.73,6.7,4.14,72810000
49401,0.6,b'Premium',b'G',b'VVS2',59.7,60.0,5.55,5.5,3.3,31575000
24213,2.05,b'Very Good',b'H',b'SI2',63.1,58.0,8.05,8.0,5.07,186015000
10271,1.2,b'Good',b'I',b'SI1',63.1,58.0,6.66,6.72,4.22,71280000
3628,0.76,b'Ideal',b'E',b'VS2',62.1,56.0,5.83,5.87,3.63,51465000
37823,0.33,b'Ideal',b'E',b'VS1',61.6,56.0,4.46,,2.74,15030000
46556,0.51,b'Ideal',b'E',b'VS2',61.8,57.0,,5.14,3.18,26715000
33032,0.32,b'Ideal',b'G',b'VVS1',61.4,57.0,4.39,4.41,2.7,12210000
14994,1.02,b'Ideal',b'D',b'SI1',61.2,56.0,6.51,6.56,4.0,90600000
23634,2.0,b'Fair',b'H',b'SI2',64.5,56.0,7.93,7.86,5.09,174825000
22119,1.01,b'Premium',b'D',b'VVS2',60.2,58.0,6.57,6.51,3.94,152205000
27686,2.18,b'Premium',b'F',b'SI1',61.2,60.0,8.38,8.3,5.1,280755000
53704,0.51,b'Ideal',b'D',b'VVS2',61.3,57.0,,5.17,,40770000
36228,0.38,b'Very Good',b'D',b'VS2',60.9,58.0,4.63,4.67,2.83,13995000
47348,0.5,b'Premium',b'D',b'VS2',62.1,58.0,5.08,5.03,3.14,27675000
48757,0.56,b'Ideal',b'F',b'VS1',61.7,54.0,5.32,5.28,3.27,30240000
52945,0.76,b'Very Good',b'H',b'SI1',63.3,58.0,5.79,5.81,3.67,38895000
51943,0.7,b'Premium',b'F',b'SI1',61.6,58.0,5.7,5.73,3.52,36615000
47525,0.52,b'Ideal',b'D',b'VS2',61.0,57.0,5.21,5.18,3.17,28020000
6709,0.27,b'Ideal',b'I',b'VVS2',62.0,54.5,4.15,4.19,2.58,6180000
34297,0.4,b'Fair',,b'SI1',64.7,58.0,4.67,4.63,3.01,12855000
2641,1.03,b'Ideal',b'H',b'I1',61.5,57.0,6.52,6.48,4.0,48450000
11624,1.01,b'Very Good',b'H',b'VS2',63.5,61.0,6.32,6.24,3.99,75750000
44534,0.5,b'Very Good',b'G',b'VS1',61.9,59.0,5.06,5.08,3.14,24045000
36400,0.31,b'Premium',b'E',b'VS1',61.1,58.0,4.37,4.34,2.66,14130000
37928,0.3,b'Very Good',b'H',b'SI2',63.2,55.0,4.29,4.26,2.7,7275000
2555,0.8,b'Very Good',b'H',b'VS1',61.7,62.0,5.89,5.94,3.65,48135000
26517,1.74,b'Very Good',b'G',b'VS2',62.9,57.0,7.64,7.68,4.82,242535000
25479,2.27,b'Good',b'H',b'SI2',63.6,58.0,8.37,8.29,5.3,213735000
43469,0.39,b'Ideal',b'E',b'IF',61.5,55.5,4.68,4.72,2.88,21270000
52748,0.7,b'Good',b'E',b'VS2',59.2,64.0,5.8,5.75,3.42,38385000
13990,1.18,b'Premium',b'H',b'SI1',61.8,58.0,6.74,6.79,4.18,85440000
12656,1.25,b'Premium',b'J',b'VS2',62.2,59.0,6.86,6.88,4.27,79485000
12894,1.01,b'Ideal',b'E',b'SI1',62.1,57.0,,6.45,3.99,80580000
23487,1.5,b'Premium',b'D',b'SI1',60.5,59.0,7.44,7.39,4.49,172335000
14482,1.03,b'Premium',b'H',b'VS1',61.2,58.0,6.55,6.52,4.0,87735000
23701,0.3,b'Premium',b'I',b'IF',60.5,59.0,4.32,4.34,2.62,9465000
19189,1.42,b'Ideal',b'J',b'VS2',61.7,56.0,7.22,7.27,4.47,119130000
6054,0.32,b'Ideal',b'I',b'VS2',62.5,57.0,,4.35,2.73,8640000
46174,0.5,b'Premium',b'E',b'VS2',62.3,60.0,5.09,5.05,3.16,26190000
14740,1.01,b'Ideal',b'H',b'VS2',61.7,56.0,6.45,6.47,3.98,89040000
38837,0.46,b'Very Good',b'G',b'VS1',62.8,57.0,4.92,4.83,3.06,15735000
49849,0.56,b'Ideal',b'D',b'VS1',62.6,59.0,5.24,5.31,3.3,32550000
38194,0.41,b'Very Good',b'E',b'SI1',63.2,56.0,4.74,4.72,2.99,15225000
4504,0.8,b'Ideal',b'E',b'SI1',61.7,56.0,5.99,6.04,3.71,54450000
49568,0.67,b'Good',b'G',b'VS2',57.5,60.1,5.78,5.83,3.34,31965000
41371,0.51,b'Good',b'F',b'SI1',63.1,54.0,5.06,5.12,3.21,18300000
2761,0.9,b'Very Good',b'I',b'SI1',63.3,59.0,6.14,6.05,,48765000
261,0.87,b'Very Good',b'I',b'SI1',63.6,55.8,6.07,6.1,3.87,41865000
1465,0.91,b'Premium',b'I',b'SI2',60.2,59.0,6.29,6.24,3.77,44715000
35454,0.32,b'Ideal',b'E',b'VS2',62.8,54.0,4.38,4.35,2.74,13500000
111,0.74,b'Ideal',b'E',b'SI2',62.2,56.0,5.8,5.84,3.62,41415000
34250,0.38,b'Ideal',b'G',b'SI1',60.9,56.0,4.71,4.68,2.86,12825000
1041,0.74,b'Good',b'E',b'SI1',62.8,61.0,5.74,5.76,3.61,43590000
13148,1.01,b'Ideal',b'G',b'VS2',61.7,57.0,6.44,6.49,3.99,81585000
22581,1.57,b'Ideal',b'I',b'SI1',62.2,56.0,7.42,7.47,4.63,159495000
18741,1.02,b'Very Good',b'G',b'VVS1',63.0,58.0,6.4,6.43,4.04,114855000
35955,0.3,b'Ideal',b'F',b'SI1',62.5,57.0,4.3,4.31,2.69,7125000
51158,0.72,b'Very Good',b'I',b'SI1',63.2,57.0,5.71,5.75,3.62,35175000
866,0.7,b'Very Good',b'G',b'SI2',59.0,62.0,5.79,5.81,3.42,43080000
40450,0.51,b'Very Good',b'I',b'VS2',63.3,56.0,5.02,5.06,3.19,17100000
10361,1.15,b'Premium',b'H',b'SI1',60.2,60.0,,6.78,4.11,71580000
41289,0.5,b'Good',b'D',b'SI1',63.9,56.0,5.02,4.93,3.18,18150000
13307,1.19,b'Ideal',b'E',b'SI2',61.9,56.0,6.8,6.84,4.22,82455000
11083,1.0,b'Fair',b'F',b'SI1',62.6,59.0,6.25,6.3,3.93,73875000
12961,1.0,b'Very Good',b'D',b'SI1',62.1,58.0,6.34,6.45,3.97,80850000
46442,0.6,b'Ideal',b'H',b'VS1',62.0,53.0,5.44,5.46,3.38,26580000
46379,0.55,b'Ideal',b'G',b'VS1',61.5,57.0,5.23,5.28,3.23,26445000
30396,0.32,b'Premium',b'G',b'VVS2',61.6,60.0,4.37,4.4,2.7,10950000
33453,0.32,b'Premium',b'G',b'VS1',62.1,58.0,4.39,4.37,2.72,12420000
20732,1.59,b'Ideal',b'I',b'SI2',60.5,55.0,7.62,7.55,4.59,134625000
43716,0.51,b'Very Good',b'H',b'VS1',63.4,57.0,5.09,5.06,3.22,21555000
3210,0.83,b'Premium',b'D',b'SI1',62.2,60.0,6.01,5.98,3.73,50205000
49302,0.32,b'Ideal',b'I',b'VVS2',61.7,56.0,4.4,4.42,2.72,8100000
52204,0.71,b'Ideal',b'D',b'SI2',62.4,55.0,5.71,5.74,3.57,37200000
22016,1.5,b'Premium',b'E',b'SI2',59.5,55.0,7.51,7.47,4.46,151200000
11113,1.02,b'Fair',b'H',b'SI1',56.9,58.0,6.64,6.75,3.81,74025000
13296,1.03,b'Ideal',b'D',b'SI2',60.5,58.0,6.52,6.58,3.96,82365000
24535,1.31,b'Ideal',b'F',b'VS1',62.1,55.0,6.97,7.0,4.34,192375000
51455,0.71,b'Ideal',b'H',b'SI2',62.6,56.0,5.65,5.75,3.57,35640000
29410,0.38,b'Premium',b'H',b'VS2',60.5,59.0,4.66,4.69,2.83,10500000
23831,1.27,b'Premium',b'F',b'VVS2',61.3,60.0,6.99,6.9,4.26,178575000
9849,1.01,b'Premium',b'F',b'SI2',61.9,58.0,6.39,6.34,3.94,70140000
32987,0.38,b'Premium',b'D',b'SI2',61.1,58.0,4.68,4.62,2.84,12180000
45250,0.5,b'Fair',b'G',b'VVS2',66.1,62.0,,4.88,3.24,24885000
15520,1.03,b'Very Good',b'F',b'VS2',63.4,62.0,6.34,6.31,4.01,93270000
20826,1.1,b'Very Good',b'G',b'IF',59.8,56.0,6.75,6.82,4.06,135795000
37619,0.24,b'Very Good',b'E',b'VVS1',63.1,55.0,3.96,4.0,2.51,7275000
53803,0.9,b'Good',b'H',b'SI1',63.8,56.0,6.07,6.02,3.86,40980000
32149,0.28,b'Very Good',b'F',b'IF',59.8,56.0,4.27,4.29,2.56,11805000
10323,1.07,b'Premium',b'H',b'SI1',60.7,60.0,6.64,6.61,4.02,71460000
33272,0.32,b'Very Good',b'H',b'SI1',61.8,56.0,4.4,4.43,2.73,6915000
39564,0.32,b'Premium',b'F',b'IF',59.3,58.0,4.47,4.44,2.62,16200000
45478,0.52,b'Ideal',b'D',b'VS2',60.3,56.0,5.24,5.27,3.17,25155000
21649,1.51,b'Good',b'G',b'VS2',63.7,57.0,7.21,7.18,4.58,146115000
22732,1.0,b'Premium',b'D',b'VVS1',62.9,58.0,6.34,6.28,3.97,161280000
11051,0.28,b'Very Good',b'E',b'VVS2',63.6,56.0,4.13,4.17,2.64,8940000
25430,1.5,b'Premium',b'E',b'VS2',62.3,60.0,,7.2,4.51,212685000
17854,1.47,b'Premium',b'J',b'VS2',61.5,58.0,7.31,7.29,4.49,108045000
40759,0.51,b'Premium',b'H',b'SI1',60.0,61.0,5.2,5.17,3.11,17445000
8586,0.9,b'Very Good',b'D',b'SI1',60.9,57.0,6.22,6.26,3.8,66570000
36147,0.33,b'Ideal',b'E',b'VS2',61.9,56.0,4.45,4.4,2.74,13920000
11061,0.28,b'Good',b'F',b'VVS2',61.2,62.0,4.16,4.21,2.56,8940000
11835,1.0,b'Premium',b'D',b'SI1',62.2,58.0,6.28,6.23,3.89,76440000
44375,0.6,b'Ideal',b'F',b'SI1',61.5,55.0,5.49,,3.36,23700000
47740,0.5,b'Fair',b'E',b'VS1',55.3,65.0,5.35,5.31,2.95,28350000
34827,0.3,b'Ideal',b'H',b'VVS1',63.0,54.0,4.3,4.27,2.7,13170000
30891,0.32,b'Very Good',b'E',b'VVS2',62.4,56.0,4.34,4.38,2.72,11160000
45866,0.71,b'Very Good',b'D',b'I1',59.7,63.0,,5.7,3.43,25725000
48582,0.54,b'Ideal',,b'VS2',61.3,56.0,5.26,5.22,3.21,29895000
48635,0.37,b'Very Good',b'H',b'VS2',61.2,54.0,4.62,4.7,2.85,8055000
22466,2.0,b'Ideal',b'F',b'I1',60.3,56.0,8.16,8.27,4.94,157410000
9304,1.07,b'Premium',b'F',b'SI2',62.4,57.0,6.58,6.53,4.09,68595000
37629,0.4,b'Ideal',b'D',b'SI1',61.8,55.0,4.78,4.74,2.94,14850000
21284,1.2,b'Premium',b'F',b'VS2',60.2,60.0,6.91,6.82,4.13,141630000
39928,0.31,b'Ideal',b'E',b'VVS1',61.3,56.0,4.38,4.4,2.69,16575000
14436,1.01,b'Good',b'E',b'VS2',65.6,55.0,6.16,6.22,4.06,87435000
43816,0.51,b'Premium',b'E',b'SI1',61.8,58.0,5.15,5.11,3.17,21645000
1559,0.61,b'Ideal',b'E',b'VS1',61.3,54.0,5.53,5.5,3.38,45060000
39736,0.38,b'Ideal',b'D',b'VS1',62.1,53.9,4.65,4.67,2.9,16380000
48191,0.53,b'Ideal',b'G',b'VVS2',61.0,56.0,5.21,5.25,3.19,29190000
27400,2.08,b'Ideal',b'J',b'IF',61.0,55.0,8.32,8.25,5.05,269790000
25228,1.51,b'Ideal',b'G',b'VS2',62.3,54.0,7.35,7.33,,207420000
40261,0.33,b'Premium',b'D',b'SI2',62.1,58.0,4.4,4.43,2.74,7380000
50020,0.7,b'Very Good',b'F',b'SI1',62.3,57.0,5.65,5.69,3.53,32940000
49206,0.66,b'Ideal',b'D',b'SI1',62.7,55.0,5.56,5.61,3.5,31185000
41511,0.44,b'Premium',b'G',b'VVS1',60.9,59.0,4.9,4.96,3.0,18525000
32829,0.33,b'Ideal',b'G',b'VVS1',60.9,56.7,4.47,4.49,2.73,12090000
52080,0.78,b'Ideal',b'J',b'VS2',62.3,55.0,5.88,5.91,3.67,36840000
25117,1.21,b'Ideal',b'E',b'VVS2',61.7,57.0,6.8,6.88,4.22,204915000
48298,0.75,b'Very Good',b'J',b'SI1',63.1,57.0,5.79,5.74,3.64,29370000
2119,0.91,b'Fair',b'E',b'SI2',64.5,60.0,6.04,5.96,3.87,46785000
28075,0.3,b'Ideal',b'D',b'VS1',62.0,54.0,4.3,4.34,2.68,9915000
39144,0.41,b'Ideal',b'G',b'VS2',62.7,56.0,4.76,4.71,2.97,15915000
18033,0.35,b'Premium',b'H',b'VS1',62.6,59.0,4.45,4.5,2.8,9210000
52303,0.23,b'Ideal',b'F',b'VS1',61.4,55.0,3.96,3.99,2.44,8220000
20596,1.21,b'Good',b'E',b'VS1',61.7,58.0,6.73,6.78,4.17,133530000
18367,0.39,b'Good',b'J',b'VS1',63.1,56.0,4.62,4.7,2.94,9240000
37527,0.31,b'Ideal',b'E',b'IF',62.2,54.0,4.33,4.35,2.7,14805000
28840,0.41,b'Ideal',b'D',b'SI2',62.7,55.0,4.72,4.75,2.97,10245000
49434,1.01,b'Very Good',b'G',b'I1',63.1,60.0,6.42,6.25,3.99,31620000
36291,0.32,b'Good',b'D',b'SI2',63.9,58.0,4.31,4.33,2.76,7155000
7588,1.01,b'Good',b'E',b'SI1',63.8,60.0,6.36,6.31,4.04,63840000
8852,1.01,b'Good',b'E',b'SI1',59.3,64.0,6.49,6.47,,67200000
31951,0.3,b'Premium',b'G',b'SI2',62.7,55.0,4.29,4.26,2.68,6780000
7464,0.9,b'Premium',b'F',b'VS2',58.7,59.0,6.34,6.3,3.71,63510000
2043,0.32,b'Premium',b'G',b'VS2',61.0,59.0,4.42,4.46,2.71,8415000
35812,0.31,b'Ideal',b'F',b'IF',62.0,54.0,4.38,4.4,2.72,13710000
43393,0.5,b'Ideal',b'I',b'VS2',61.9,56.0,5.08,5.13,3.16,21150000
47485,0.83,b'Ideal',b'H',b'SI2',61.8,57.0,6.08,5.99,3.73,27945000
10874,1.05,b'Good',b'E',b'SI1',64.2,61.0,6.33,6.41,4.09,73170000
41199,0.32,b'Ideal',b'F',b'IF',61.8,56.0,4.4,4.44,2.73,18060000
464,0.7,b'Premium',b'E',b'VS2',63.0,60.0,5.64,5.6,3.54,42270000
36182,0.41,b'Premium',b'E',b'SI1',61.0,61.0,4.77,4.74,2.9,13950000
1283,0.72,b'Ideal',b'E',b'SI1',61.0,56.0,5.84,5.79,3.55,44265000
4355,1.04,b'Premium',b'J',b'SI2',62.0,59.0,6.47,6.49,4.02,54045000
52529,0.76,b'Very Good',b'E',b'SI2',62.0,54.0,5.84,5.91,3.64,37950000
3317,0.87,b'Ideal',b'H',b'VS2',62.3,57.0,6.08,6.12,3.8,50580000
3448,0.91,b'Very Good',b'G',b'SI2',61.8,59.0,,6.23,3.83,50820000
27325,2.03,b'Ideal',b'H',b'SI1',60.8,57.0,8.18,8.24,,267960000
9892,1.08,b'Very Good',b'G',b'SI2',62.8,56.0,6.48,6.6,4.11,70275000
1384,0.31,b'Very Good',b'G',b'VS2',62.6,56.0,4.33,4.37,2.72,8385000
52075,0.71,b'Very Good',b'I',b'VVS1',63.0,58.0,5.68,5.72,3.59,36840000
48504,0.59,b'Premium',b'H',b'VVS1',62.0,58.0,5.38,5.36,,29730000
45877,0.71,b'Premium',b'G',b'SI2',59.9,59.0,5.79,5.82,3.48,25755000
34533,0.33,b'Very Good',b'G',b'VVS1',62.8,59.0,4.38,4.44,2.77,13020000
18457,1.04,b'Ideal',b'F',b'VS2',61.1,57.0,6.52,6.54,3.99,112620000
47205,0.5,b'Very Good',b'G',b'VVS2',62.8,57.0,4.99,5.04,3.15,27570000
17955,1.02,b'Very Good',b'F',b'VS1',61.9,59.0,6.38,6.44,3.97,108855000
10332,1.01,b'Good',b'E',b'SI1',64.3,59.0,6.31,6.34,4.07,71490000
38184,0.41,b'Ideal',b'D',b'SI1',62.3,55.0,4.79,4.77,2.98,15225000
34078,0.34,b'Ideal',b'H',b'VVS2',61.4,56.0,4.48,4.51,2.76,12780000
16143,1.2,b'Premium',b'H',b'SI1',61.3,60.0,6.87,6.81,,96765000
38204,0.43,b'Premium',b'F',b'SI1',62.5,56.0,4.85,4.82,3.02,15240000
15468,1.0,b'Good',b'H',b'VVS2',63.7,52.0,6.41,6.36,4.07,92910000
51904,0.61,b'Ideal',b'E',b'VS2',61.4,56.0,5.47,5.51,3.37,36510000
44855,0.5,b'Very Good',b'D',b'VS2',62.8,60.0,5.02,5.08,3.17,24405000
29501,0.32,b'Ideal',b'E',b'VS2',62.2,55.0,4.36,4.38,2.72,10530000
15512,1.52,b'Premium',b'I',b'SI2',62.2,59.0,7.36,7.27,4.56,93210000
39376,0.52,b'Ideal',b'I',b'SI1',61.8,55.0,5.16,5.19,3.2,16110000
12948,1.23,b'Good',b'J',b'VS2',63.6,57.0,6.79,6.74,4.3,80790000
37114,0.33,b'Ideal',b'E',b'VVS2',60.0,56.0,4.53,4.56,2.72,14550000
12110,1.01,b'Premium',b'H',b'VS2',61.3,59.0,6.41,6.45,3.94,77490000
28924,0.39,b'Very Good',b'G',b'SI1',61.7,57.0,4.77,4.7,2.92,10260000
9395,1.03,b'Ideal',b'F',b'SI2',60.5,58.0,6.55,6.49,3.94,68790000
39697,0.42,b'Good',b'F',b'VS1',59.9,65.0,4.83,4.89,2.91,16320000
29643,0.35,b'Very Good',b'H',b'VVS2',62.5,58.0,4.48,4.51,2.81,10590000
26976,2.01,b'Premium',b'G',b'VS2',60.6,59.0,8.16,8.12,4.93,255855000
5342,0.91,b'Ideal',b'F',b'SI2',62.2,56.0,6.14,6.17,3.83,57180000
23561,1.5,b'Ideal',b'G',b'SI1',62.8,54.0,7.31,7.29,4.58,173580000
13645,1.24,b'Very Good',b'I',b'SI1',60.0,59.0,6.98,7.01,4.2,83760000
44825,0.55,b'Good',b'F',b'VS2',58.2,58.0,5.42,5.46,3.16,24360000
42364,0.52,b'Premium',b'E',b'SI1',59.0,59.0,5.3,5.21,3.1,19545000
7001,1.0,b'Good',b'I',b'VS2',59.7,64.0,6.51,6.45,3.87,62325000
38604,0.46,b'Ideal',b'H',b'SI1',61.2,56.0,4.99,5.04,3.07,15585000
45762,0.51,b'Very Good',b'F',b'VS1',61.0,59.0,5.16,5.1,3.13,25590000
52292,0.25,b'Very Good',b'D',b'VVS2',62.0,61.0,3.99,4.04,2.49,8220000
9286,1.04,b'Premium',b'E',b'SI2',59.2,58.0,6.7,,3.95,68490000
6532,0.95,b'Ideal',b'E',b'SI2',62.2,56.0,6.26,6.35,3.92,61020000
39862,0.38,b'Ideal',b'F',b'VVS1',62.3,54.1,4.63,4.66,2.9,16515000
49831,0.84,b'Fair',b'D',b'SI2',64.5,60.0,5.92,5.84,3.79,32505000
24401,1.06,b'Very Good',b'E',b'IF',62.4,55.0,6.5,6.54,4.07,189630000
45005,0.54,b'Very Good',b'E',b'VS2',60.7,56.0,5.29,5.32,3.22,24555000
53662,0.73,b'Very Good',b'G',b'VS1',61.0,60.0,5.76,5.84,3.54,40620000
27427,2.11,b'Premium',b'E',b'SI2',62.4,61.0,8.19,8.1,5.08,270510000
41351,0.57,b'Premium',b'H',b'SI1',59.3,58.0,5.4,5.46,3.22,18270000
26263,2.01,b'Ideal',b'I',b'VS2',66.7,56.0,7.75,7.65,5.14,235935000
17920,1.31,b'Good',b'I',b'VS2',62.5,56.0,7.03,6.98,4.38,108540000
51964,0.3,b'Ideal',b'H',b'VS1',61.9,58.0,4.3,4.32,2.67,8175000
24952,2.14,b'Premium',b'H',b'SI2',61.2,57.0,8.36,8.32,5.1,201315000
16062,1.01,b'Very Good',b'F',b'VS2',62.8,59.0,,6.41,4.0,96240000
39563,0.4,b'Premium',b'G',b'VS1',62.2,55.0,4.83,4.69,2.96,16200000
36778,0.3,b'Ideal',b'E',b'VVS1',61.8,56.0,4.31,4.3,2.66,14340000
45581,0.52,b'Ideal',b'G',b'VS1',60.9,55.0,,5.22,3.16,25335000
7508,1.05,b'Good',b'G',b'SI2',63.2,54.0,6.49,6.52,4.11,63615000
38416,0.3,b'Ideal',b'G',b'IF',62.4,55.0,4.32,4.3,2.69,15375000
9929,1.05,b'Very Good',b'H',b'SI1',63.1,60.0,6.49,,4.07,70380000
38612,0.31,b'Premium',b'J',b'VS2',62.4,60.0,4.33,4.29,2.69,7320000
33310,0.35,b'Very Good',b'D',b'SI1',63.3,57.0,4.53,4.51,2.86,12405000
38915,0.33,b'Ideal',b'G',b'IF',61.7,55.0,4.47,4.45,2.75,15780000
39035,0.37,b'Ideal',b'G',b'IF',62.1,55.0,4.6,4.64,2.87,15840000
22666,1.31,b'Ideal',b'E',b'VS1',61.7,55.0,,7.05,4.37,160665000
31102,0.34,b'Ideal',b'D',b'VS2',61.0,58.0,4.49,4.53,2.75,11295000
17393,0.32,b'Good',b'D',b'SI2',63.7,56.0,4.34,4.33,2.76,9180000
35067,0.32,b'Very Good',b'F',b'VVS1',61.6,56.0,4.37,,2.7,13290000
14911,1.07,b'Very Good',b'D',b'SI1',60.2,55.0,6.64,,4.01,90030000
12080,1.06,b'Ideal',b'D',b'SI2',62.3,55.0,6.5,6.54,4.06,77385000
8193,1.04,b'Premium',b'I',b'SI1',61.8,60.0,,6.47,4.01,65520000
22857,1.61,b'Very Good',b'E',b'SI2',63.0,59.9,7.42,7.45,4.68,163365000
4249,0.8,b'Ideal',b'G',b'VS1',61.1,58.0,5.96,6.03,3.66,53670000
29399,0.34,b'Ideal',b'E',b'VS1',59.1,57.0,4.55,4.58,2.7,10470000
43067,0.55,b'Premium',b'G',b'SI1',60.1,61.0,5.32,5.29,3.19,20655000
11931,1.11,b'Ideal',b'G',b'SI1',62.0,57.0,6.69,,4.12,76905000
37170,0.32,b'Ideal',b'D',b'VS2',62.2,56.0,4.4,4.38,2.73,14580000
51921,0.7,b'Ideal',b'G',b'VS1',62.7,57.0,5.66,5.7,3.56,36555000
53206,0.75,b'Very Good',b'G',b'SI1',62.1,60.0,5.79,5.83,3.61,39510000
25535,1.75,b'Very Good',b'H',b'VS1',63.3,56.0,7.63,,4.8,215385000
30582,0.31,b'Ideal',b'D',b'VS2',62.1,54.0,4.35,4.41,2.72,11010000
2275,0.64,b'Ideal',b'E',b'VVS2',62.1,53.0,5.51,5.54,3.43,47355000
50562,0.71,b'Very Good',b'H',b'VS1',62.8,58.0,5.67,5.7,3.57,34155000
11406,1.01,b'Very Good',b'I',b'SI2',62.2,59.0,6.36,6.41,3.97,75000000
16897,1.21,b'Very Good',b'H',b'VS2',62.1,60.0,6.77,6.83,4.22,101175000
48606,1.0,b'Fair',b'I',b'I1',66.9,57.0,6.15,6.03,4.09,29955000
43771,0.58,b'Premium',b'H',b'VS2',59.7,59.0,5.42,5.33,3.21,21585000
5090,1.02,b'Premium',b'F',b'SI2',62.5,58.0,6.47,6.4,4.02,56310000
48462,0.61,b'Good',b'H',b'VVS2',58.7,64.0,5.53,5.5,3.24,29640000
6830,0.9,b'Good',b'D',b'SI1',63.8,58.0,6.13,6.09,3.9,61800000
15072,1.02,b'Very Good',b'G',b'VS2',62.1,59.0,6.41,6.47,4.0,90870000
11707,0.34,b'Ideal',b'G',b'VS2',61.5,57.0,4.47,4.51,2.76,8940000
41014,0.41,b'Very Good',b'F',b'VVS1',62.7,59.0,4.75,4.78,2.99,17790000
23554,1.51,b'Very Good',b'E',b'SI1',63.1,58.0,7.28,7.23,4.58,173475000
14714,0.3,b'Premium',b'H',b'VVS2',61.5,58.0,4.28,4.3,2.64,9075000
32185,0.41,b'Ideal',b'I',b'VVS2',61.6,55.0,4.78,4.8,2.95,11820000
42929,0.62,b'Ideal',b'F',b'SI2',61.8,55.0,5.5,5.51,3.4,20460000
10762,1.01,b'Premium',b'E',b'SI1',59.6,59.0,6.53,6.46,3.87,72795000
20336,1.25,b'Premium',b'G',b'VS1',60.0,61.0,7.03,6.92,,131040000
5791,1.01,b'Very Good',b'J',b'SI2',62.2,58.0,6.37,6.4,3.97,58575000
51773,0.73,b'Premium',b'E',b'SI2',60.8,60.0,5.87,5.78,3.54,36135000
50058,0.57,b'Ideal',b'E',b'VS2',61.3,57.0,5.29,5.38,,33030000
